codigo,fuente_fin_Dep,inicial,vigente,compromiso,obligacion,pago6
2018011000719,---Arauca,130.486.443,130.486.443,130.372.010,113.778.678,111.045.422
2018011000719,---Casanare,354.177.488,354.177.488,353.866.884,308.827.840,301.409.002
2018011000719,---Putumayo,242.331.965,242.331.965,242.119.447,211.303.259,206.227.212
2018011000719,---San Andres,37.281.840,37.281.840,37.249.145,32.508.193,31.727.263
2018011000719,---Amazonas,205.050.125,205.050.125,204.870.302,178.795.066,174.772.686
2018011000719,---Guainia,167.768.285,167.768.285,167.621.157,146.286.873,142.772.686
2018011000719,---Guaviare,74.563.683,74.563.683,74.498.293,65.016.389,63.454.528
2018011000719,---Vaupes,111.845.522,111.845.522,111.747.437,97.524.581,95.181.790
2018011000719,---Vichada,74.563.683,74.563.683,74.498.293,65.016.389,63.454.528
2018011000745,Recursos Propios,2.230.053.000,2.230.053.000,2.230.053.000,2.214.053.000,2.214.053.000
2018011000745,---Bogota,1.960.053.000,1.960.053.000,1.960.053.000,1.944.053.000,1.944.053.000
2018011000745,---Choco,30.000.000,30.000.000,30.000.000,30.000.000,30.000.000
2018011000745,---Guajira,30.000.000,30.000.000,30.000.000,30.000.000,30.000.000
2018011000745,---Meta,40.000.000,40.000.000,40.000.000,40.000.000,40.000.000
2018011000745,---Nariño,30.000.000,30.000.000,30.000.000,30.000.000,30.000.000
2018011000745,---N. Santander,40.000.000,40.000.000,40.000.000,40.000.000,40.000.000
2018011000745,---Arauca,30.000.000,30.000.000,30.000.000,30.000.000,30.000.000
2018011000745,---San Andres,40.000.000,40.000.000,40.000.000,40.000.000,40.000.000
2018011000745,---Amazonas,30.000.000,30.000.000,30.000.000,30.000.000,30.000.000
2018011000823,Recursos Propios,2.123.860.000,2.123.860.000,2.105.313.390,1.958.969.962,1.958.969.962
2018011000823,---Bogota,1.650.181.556,1.650.181.556,1.633.048.800,1.486.705.372,1.486.705.372
2018011000823,---Cauca,157.892.815,157.892.815,157.347.750,157.347.750,157.347.750
2018011000823,---Choco,157.892.815,157.892.815,157.347.750,157.347.750,157.347.750
2018011000823,---Nariño,78.946.407,78.946.407,78.784.545,78.784.545,78.784.545
2018011000823,---Putumayo,78.946.407,78.946.407,78.784.545,78.784.545,78.784.545
2018011000846,Aportes Nacion,4.223.900.755,4.223.900.755,4.223.900.755,3.478.090.978,3.478.090.978
2018011000846,---Bogota,4.223.900.755,4.223.900.755,4.223.900.755,3.478.090.978,3.478.090.978
2018011000622,Aportes Nacion,55.447.195.900,142.447.195.900,137.819.032.890,97.907.625.968,97.907.625.968
2018011000622,---Antioquia,644.206.421,7.984.158.779,7.536.802.909,7.061.802.339,7.061.802.339
2018011000622,---Atlantico,240.447.004,3.172.423.333,2.997.153.442,2.811.087.577,2.811.087.577
2018011000622,---Bogota,530.788.181,80.848.222.557,80.033.744.183,44.176.794.071,44.176.794.071
2018011000622,---Bolivar,136.102.444,2.861.885.524,2.692.529.234,2.512.580.622,2.512.580.622
2018011000622,---Boyaca,2.230.446.194,3.410.262.083,3.154.666.427,2.882.367.306,2.882.367.306
2018011000622,---Caldas,2.087.821.598,1.435.848.626,1.347.667.873,1.253.929.050,1.253.929.050
2018011000622,---Caqueta,1.223.858.756,807.801.621,751.846.628,692.283.234,692.283.234
2018011000622,---Cauca,994.012.473,2.229.948.983,2.089.407.302,1.939.961.056,1.939.961.056
2018011000622,---Cesar,1.570.163.523,1.686.446.765,1.587.606.523,1.482.597.132,1.482.597.132
2018011000622,---Cordoba,9.374.657.446,2.215.504.424,2.089.302.836,1.955.273.430,1.955.273.430
2018011000622,---Cundinamarca,2.850.068.899,4.807.584.283,4.512.530.828,4.198.882.572,4.198.882.572
2018011000622,---Choco,1.146.754.611,1.102.169.474,1.025.128.588,943.111.598,943.111.598
2018011000622,---Huila,1.878.171.647,1.934.423.259,1.805.775.254,1.668.891.958,1.668.891.958
2018011000622,---Guajira,5.655.517.114,1.345.162.955,1.263.677.828,1.177.071.135,1.177.071.135
2018011000622,---Magdalena,1.069.120.234,2.092.740.466,1.962.446.252,1.823.916.776,1.823.916.776
2018011000622,---Meta,750.561.205,1.558.285.216,1.460.777.621,1.357.100.854,1.357.100.854
2018011000622,---Nariño,943.604.674,2.757.914.516,2.574.682.417,2.379.723.037,2.379.723.037
2018011000622,---N. Santander,135.597.119,2.246.556.329,2.109.677.071,1.964.184.263,1.964.184.263
2018011000622,---Quindio,558.509.011,963.518.648,899.424.801,831.227.854,831.227.854
2018011000622,---Risaralda,1.172.456.916,1.283.868.184,1.206.855.517,1.125.012.285,1.125.012.285
2018011000622,---Santander,1.684.589.644,3.723.268.587,3.480.525.682,3.222.301.613,3.222.301.613
2018011000622,---Sucre,883.642.779,1.500.639.822,1.404.115.144,1.301.450.383,1.301.450.383
2018011000622,---Tolima,2.146.836.502,2.390.670.487,2.229.282.060,2.057.534.040,2.057.534.040
2018011000622,---Valle,3.400.340.513,4.923.922.918,4.661.025.185,4.382.064.473,4.382.064.473
2018011000622,---Arauca,128.036.642,586.834.542,546.216.569,502.979.597,502.979.597
2018011000622,---Casanare,1.583.246.580,722.906.653,675.504.627,625.076.211,625.076.211
2018011000622,---Putumayo,467.780.508,673.106.076,627.372.417,578.699.666,578.699.666
2018011000622,---San Andres,199.110.117,164.239.397,152.176.817,139.328.537,139.328.537
2018011000622,---Amazonas,143.157.597,176.651.301,164.076.149,150.686.194,150.686.194
2018011000622,---Guainia,3.578.351.589,151.827.490,140.277.482,127.970.869,127.970.869
2018011000622,---Guaviare,1.506.667.133,284.010.064,262.264.851,239.093.734,239.093.734
2018011000622,---Vaupes,1.665.426.100,159.060.501,146.668.262,133.461.217,133.461.217
2018011000622,---Vichada,2.867.144.726,245.332.037,227.824.111,209.181.285,209.181.285
